dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.497,ms,497000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
100,main_graph$async_dispatch_100_embedded_elf_riscv_64_main_graph$async_dispatch_100_reduction_196x160_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.mlir,2.43,ms,2430000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.vmfb.log
101,main_graph$async_dispatch_101_embedded_elf_riscv_64_main_graph$async_dispatch_101_matmul_like_5x196x32x160_f32_pack,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.mlir,172,ms,172000000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.vmfb.log
102,main_graph$async_dispatch_102_embedded_elf_riscv_64_main_graph$async_dispatch_102_conv_160x7x7x160x2x2_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.mlir,25.5,ms,25500000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.vmfb.log
103,main_graph$async_dispatch_103_embedded_elf_riscv_64_main_graph$async_dispatch_103_reduction_49x160_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.mlir,0.378,ms,378000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.vmfb.log
104,main_graph$async_dispatch_104_embedded_elf_riscv_64_main_graph$async_dispatch_104_matmul_like_10x49x32x160_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.mlir,0.792,ms,792000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.vmfb.log
105,main_graph$async_dispatch_105_embedded_elf_riscv_64_main_graph$async_dispatch_105_elementwise_broadcast_5x32x49_f32_pack,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.mlir,0.23,ms,230000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.vmfb.log
106,main_graph$async_dispatch_106_embedded_elf_riscv_64_main_graph$async_dispatch_106_batch_mmt4d_5x7x7x32x7x32x1_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.mlir,0.55,ms,550000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.vmfb.log
107,main_graph$async_dispatch_107_embedded_elf_riscv_64_main_graph$async_dispatch_107_unpack_f32,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.mlir,1.28,ms,1280000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.vmfb.log
108,main_graph$async_dispatch_108_embedded_elf_riscv_64_main_graph$async_dispatch_108_softmax_5x196x49xf32_dispatch_tensor_store,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.mlir,1.44,ms,1440000.000000,0,/home/dima/sched_vmfb/out/glpdepth/topo_0_1/logs/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.vmfb.log
